Unitary,ProductImp
0.02,0.0395
0.03,0.0385
0.08,0.038
0.09,0.0385
0.1,0.039
0.11,0.0391
0.12,0.0391
0.13,0.0395
0.14,0.0397
0.15,0.0401
0.2,0.0405
0.21,0.0435
0.22,0.045
0.23,0.046
0.28,0.049
0.29,0.053
0.34,0.0535
0.35,0.054
0.36,0.055
0.37,0.0552
0.38,0.056
0.39,0.0562
0.4,0.0572
0.41,0.058
0.42,0.0582
0.43,0.0592
0.44,0.0595
0.45,0.0603
0.46,0.061
0.51,0.0625
0.52,0.0635
0.57,0.064
0.58,0.0635
0.59,0.0632
0.6,0.0626
0.61,0.0627
0.62,0.0627
0.67,0.0592
0.68,0.0585
0.69,0.0574
0.04,0.039
0.05,0.0385
0.06,0.0382
0.07,0.0381
0.16,0.0452
0.17,0.0455
0.18,0.046
0.19,0.047
0.24,0.048
0.25,0.049
0.26,0.051
0.27,0.052
0.3,0.053
0.31,0.054
0.32,0.055
0.33,0.056
0.47,0.0622
0.48,0.0622
0.49,0.0626
0.5,0.0628
0.53,0.0635
0.54,0.0637
0.55,0.0638
0.56,0.064
0.63,0.062
0.64,0.061
0.65,0.065
0.66,0.059
